path,kontras0,dissimilarity0,homogenitas0,entropi0,asm0,energi0,correlation0,kontras45,dissimilarity45,homogenitas45,entropi45,asm45,energi45,correlation45,kontras90,dissimilarity90,homogenitas90,entropi90,asm90,energi90,correlation90,kontras135,dissimilarity135,homogenitas135,entropi135,asm135,energi135,correlation135
finger_2,1652.5369127516778,6.480536912751678,0.9745865205802036,0.24022377561881186,0.9087020584658348,0.9087020584658348,0.6180084975265688,2463.223503445791,9.659700013512905,0.9621194060307294,0.2637688076899586,0.8983977735988444,0.8983977735988444,0.41860830778598884,1830.5763253907483,7.178730687806856,0.9718485478825278,0.2436599725099015,0.9075686258125261,0.9075686258125261,0.5673734115622031,2442.7210486014146,9.579298229809469,0.962434702294445,0.2630955316074413,0.8987312929791829,0.8987312929791829,0.4230755281225422
finger_2,1652.5369127516778,6.480536912751678,0.9745865205802036,0.24022377561881186,0.9087020584658348,0.9087020584658348,0.6180084975265688,2463.223503445791,9.659700013512905,0.9621194060307294,0.2637688076899586,0.8983977735988444,0.8983977735988444,0.41860830778598884,1845.220935993874,7.23616053330931,0.9716233362655881,0.2444332136392035,0.9072301214904954,0.9072301214904954,0.5647553067835851,2442.7210486014146,9.579298229809469,0.962434702294445,0.2630955316074413,0.8987312929791829,0.8987312929791829,0.4230755281225422
finger_2,1652.5369127516778,6.480536912751678,0.9745865205802036,0.24022377561881186,0.9087020584658348,0.9087020584658348,0.6180084975265688,2442.7210486014146,9.579298229809469,0.962434702294445,0.2630955316074413,0.8987312929791829,0.8987312929791829,0.4230755281225422,1830.5763253907483,7.178730687806856,0.9718485478825278,0.2436599725099015,0.9075686258125261,0.9075686258125261,0.5673734115622031,2463.223503445791,9.659700013512905,0.9621194060307294,0.2637688076899586,0.8983977735988444,0.8983977735988444,0.41860830778598884
finger_2,1652.5369127516778,6.480536912751678,0.9745865205802036,0.24022377561881186,0.9087020584658348,0.9087020584658348,0.6180084975265688,2442.7210486014146,9.579298229809469,0.962434702294445,0.2630955316074413,0.8987312929791829,0.8987312929791829,0.4230755281225422,1845.220935993874,7.23616053330931,0.9716233362655881,0.2444332136392035,0.9072301214904954,0.9072301214904954,0.5647553067835851,2463.223503445791,9.659700013512905,0.9621194060307294,0.2637688076899586,0.8983977735988444,0.8983977735988444,0.41860830778598884
finger_2,1652.5369127516778,6.480536912751678,0.9745865205802036,0.24022377561881186,0.9087020584658348,0.9087020584658348,0.6180084975265688,2442.7210486014146,9.579298229809469,0.962434702294445,0.2630955316074413,0.8987312929791829,0.8987312929791829,0.4230755281225422,1830.5763253907483,7.178730687806856,0.9718485478825278,0.2436599725099015,0.9075686258125261,0.9075686258125261,0.5673734115622031,2463.223503445791,9.659700013512905,0.9621194060307294,0.2637688076899586,0.8983977735988444,0.8983977735988444,0.41860830778598884
finger_2,1844.5570469798658,7.233557046979866,0.9716335458588893,0.2449265161310235,0.9069916850592316,0.9069916850592316,0.5665610601703771,2442.7210486014146,9.579298229809469,0.962434702294445,0.2630955316074413,0.8987312929791829,0.8987312929791829,0.4230755281225422,1628.4806990676095,6.386198819872979,0.9749564681962968,0.2384943557010996,0.9094616508263162,0.9094616508263162,0.6212447131540928,2463.223503445791,9.659700013512905,0.9621194060307294,0.2637688076899586,0.8983977735988444,0.8983977735988444,0.41860830778598884
finger_2,1844.5570469798658,7.233557046979866,0.9716335458588893,0.2449265161310235,0.9069916850592316,0.9069916850592316,0.5665610601703771,2442.7210486014146,9.579298229809469,0.962434702294445,0.2630955316074413,0.8987312929791829,0.8987312929791829,0.4230755281225422,1619.6939327057341,6.351740912571506,0.9750915951664606,0.23413710292789316,0.9115643497510485,0.9115643497510485,0.6116939609010649,2463.223503445791,9.659700013512905,0.9621194060307294,0.2637688076899586,0.8983977735988444,0.8983977735988444,0.41860830778598884
finger_2,247.2986577181208,0.9697986577181208,0.996196926495277,0.02934529303096155,0.9920589152640772,0.9920589152640772,0.08411597485416904,266.53191297689295,1.045223188144678,0.9959011485716961,0.02995916457506503,0.9917376600035676,0.9917376600035676,0.019451617514040936,234.31376965001576,0.9188775280392775,0.9963966141289635,0.029223199020786062,0.9921844635533515,0.9921844635533515,0.14713062719577796,272.38975721814336,1.0681951263456602,0.9958110639249201,0.03001981382598895,0.9916483205967802,0.9916483205967802,-0.0020988963866571736
finger_2,247.2986577181208,0.9697986577181208,0.996196926495277,0.02934529303096155,0.9920589152640772,0.9920589152640772,0.08411597485416904,266.53191297689295,1.045223188144678,0.9959011485716961,0.02995916457506503,0.9917376600035676,0.9917376600035676,0.019451617514040936,234.31376965001576,0.9188775280392775,0.9963966141289635,0.02885685630861755,0.9922741722150789,0.9922741722150789,0.12862932108760086,272.38975721814336,1.0681951263456602,0.9958110639249201,0.03001981382598895,0.9916483205967802,0.9916483205967802,-0.0020988963866571736
finger_2,247.2986577181208,0.9697986577181208,0.996196926495277,0.02934529303096155,0.9920589152640772,0.9920589152640772,0.08411597485416904,272.38975721814336,1.0681951263456602,0.9958110639249201,0.03001981382598895,0.9916483205967802,0.9916483205967802,-0.0020988963866571736,234.31376965001576,0.9188775280392775,0.9963966141289635,0.029223199020786062,0.9921844635533515,0.9921844635533515,0.14713062719577796,266.53191297689295,1.045223188144678,0.9959011485716961,0.02995916457506503,0.9917376600035676,0.9917376600035676,0.019451617514040936
